Topic,Representation
113,"['calendar', 'calendars', 'dates', 'calendrical', 'equinoxes', 'holidays', 'date', '365', 'equinox', 'easter']"
114,"['counties', 'county', 'population', 'populous', 'cities', 'urban', 'city', 'census', 'borough', 'metropolitan']"
115,"['degree', 'bachelor', 'diplomas', 'doctorates', 'diploma', 'qualifications', 'qualification', 'baccalaureate', 'honours', 'undergraduate']"
116,"['spying', 'espionage', 'surveillance', 'spied', 'disclosures', 'security', 'disclosure', 'whistleblowers', 'privacy', 'whistleblower']"
117,"['schooling', 'education', 'educational', 'kindergarten', 'curriculum', 'schools', 'preschool', 'preschools', 'secondary', 'primary']"
118,"['railway', 'railways', 'autobahns', 'autobahn', 'trains', 'subway', 'rail', 'stations', 'train', 'airport']"
119,"['laden', 'jihadi', 'mujahideen', 'jihadis', 'al', 'terrorist', 'jihadist', 'terrorists', 'jihad', 'terrorism']"
120,"['theatre', 'venue', 'venues', 'theater', 'orchestras', 'auditorium', 'orchestra', 'concerts', 'concert', 'theatres']"
121,"['earthquake', 'earthquakes', 'tsunami', 'tsunamis', 'quakes', 'quake', 'seismic', 'tectonic', 'volcanoes', 'eruption']"
122,"['superman', 'superhero', 'comics', 'sequels', 'joker', 'sequel', 'comic', 'trilogy', 'films', 'film']"
123,"['dodge', 'automakers', 'truck', 'automotive', 'trucks', 'automobiles', 'dealers', 'vehicles', 'automobile', 'caravan']"
124,"['election', 'elections', 'candidates', 'candidate', 'voters', 'candidacy', 'political', 'elected', 'parliamentary', 'coalition']"
125,"['broadway', 'musicals', 'musical', 'theatre', 'theater', 'concert', 'cast', 'playhouse', 'cabaret', 'performances']"
126,"['whales', 'whale', 'whaling', 'cetaceans', 'cetacean', 'shark', 'dolphin', 'sharks', 'dolphins', 'mammals']"
127,"['potter', 'potters', 'wizard', 'wizardry', 'wizarding', 'wizards', 'wand', 'potion', 'wands', 'headmaster']"
128,"['starship', 'spaceflight', 'spacecraft', 'shuttle', 'astronauts', 'crew', 'rocket', 'aboard', 'cargo', 'orbit']"
129,"['pol', 'communists', 'rouge', 'soviet', 'communist', 'deposed', 'communism', 'regime', 'genocide', 'pot']"
130,"['tombstone', 'corral', 'stagecoach', 'outlaw', 'outlaws', 'marshal', '1881', 'gunfight', 'cowboy', 'billy']"
131,"['tennis', 'competed', 'doubles', 'slams', 'finalist', 'finals', 'tournament', 'tournaments', 'quarterfinal', 'quarterfinals']"
132,"['lunar', 'moon', 'astronaut', 'astronauts', 'spacecraft', 'spaceflight', 'mission', 'missions', 'module', 'manned']"
133,"['hamlet', 'playwright', 'actor', 'cast', 'acting', 'midsummer', 'theatre', 'actors', 'broadway', 'theater']"
134,"['angels', 'archangels', 'archangel', 'angelic', 'angel', 'demons', 'theology', 'biblical', 'ibn', 'satan']"
135,"['labia', 'labial', 'lips', 'clitoris', 'vulval', 'vulva', 'genital', 'cleft', 'gynecomastia', 'glands']"
136,"['jerseys', 'uniforms', '49ers', 'colors', 'helmets', 'red', 'wearing', 'patriots', 'blue', 'jersey']"
137,"['linguistics', 'languages', 'linguist', 'linguistic', 'language', 'linguists', 'dialects', 'morphology', 'dialect', 'morphological']"
138,"['foxes', 'coyotes', 'coyote', 'mammals', 'fox', 'predators', 'rodents', 'wolves', 'raccoons', 'species']"
139,"['tiger', 'tigers', 'species', 'lion', 'wildlife', 'leopards', 'leopard', 'phylogenetic', 'endangered', 'zoos']"
140,"['panzer', 'soviets', 'infantry', '1944', 'artillery', 'defence', 'troops', 'flank', 'flanks', 'defences']"
141,"['hamlet', 'playwright', 'playwrights', 'tempest', 'soliloquy', 'prose', 'friar', 'tragedy', 'plays', 'soliloquies']"
142,"['potter', 'sorcerer', 'wizard', 'screenwriter', 'cast', 'actor', 'wizarding', 'director', 'hobbit', 'ron']"
143,"['rating', 'critics', 'reviews', 'review', 'rotten', 'acclaim', 'score', 'average', 'thriller', 'favorable']"
144,"['pepper', 'concert', 'albums', 'songs', 'album', 'vocals', '1966', 'songwriting', 'singles', 'band']"
145,"['pope', 'papal', 'papacy', 'pontifical', 'popes', 'archbishop', 'cardinal', 'bishops', 'diocesan', 'bishop']"
146,"['unions', 'union', 'unionism', 'unionized', 'unionization', 'labour', 'workers', 'employers', 'workplace', 'employer']"
147,"['cardiovascular', 'cardiomyopathy', 'cardiac', 'hypertension', 'myocardial', 'tachycardia', 'atherosclerosis', 'ventricular', 'atherosclerotic', 'ventricle']"
148,"['helicopters', 'missiles', 'helicopter', 'squadrons', 'insurgents', 'missile', 'aircraft', 'piloted', 'flown', 'squadron']"
149,"['shah', 'khan', 'dynasty', 'deposed', 'dictator', 'imam', 'overthrown', 'revolution', 'monarchy', 'overthrow']"
150,"['waters', 'concert', 'tour', 'pink', 'wall', 'band', 'albums', 'guitarist', 'songwriter', 'diamond']"
151,"['voyages', 'voyage', '1493', 'explorers', 'expeditions', '1492', '1496', 'expedition', 'islands', 'archipelago']"
152,"['spartan', 'rebelled', 'battle', 'besieged', 'victories', 'conquered', 'conquest', 'allied', 'defeated', 'war']"
153,"['kanji', 'hiragana', 'pinyin', 'kun', 'katakana', 'kokuji', 'pronunciations', 'mandarin', 'pronunciation', 'jukujikun']"
154,"['rings', 'ring', 'shire', 'hobbit', 'elves', 'hobbits', 'elf', 'elven', 'dwarves', 'goblin']"
155,"['confederates', 'confederate', 'confederacy', '1863', '1861', '1864', '1865', '1862', 'battle', 'surrendered']"
156,"['mafia', 'gangs', 'cartels', 'cartel', 'syndicate', 'clans', 'clan', 'mafiosi', 'mafioso', 'nostra']"
157,"['apartheid', 'decolonisation', '1979', 'smith', 'nationalists', 'commonwealth', 'independence', 'referendum', 'regime', 'nationalist']"
158,"['fascism', 'fascist', 'italiana', 'fascists', 'nationalist', 'dictatorship', 'dictator', '1944', '1945', '1926']"
159,"['windows', 'vista', 'os', 'pc', 'versions', 'x86', 'desktop', 'explorer', 'operating', 'netbooks']"
160,"['chrome', 'browser', 'browsers', 'chromium', 'safari', 'apps', 'browsing', 'web', 'mobile', 'mac']"
161,"['literacy', 'population', 'castes', 'literate', 'census', 'crore', 'average', 'ratio', 'rate', 'lakh']"
162,"['pip', 'miss', 'orphan', 'carol', 'protagonist', 'narrator', 'aunt', 'ending', 'bleak', 'reader']"
163,"['ruby', 'assassination', 'assassinated', 'assassinate', 'warren', 'assassinations', '1963', 'conspiracy', 'gunmen', 'walker']"
164,"['soviets', 'revolutionaries', 'soviet', '1917', 'socialists', 'revolution', '1918', 'tsar', 'socialist', 'tsarist']"
165,"['twitter', 'tweets', 'tweet', 'microblogging', 'retweet', 'blogging', 'blogs', 'messaging', 'blog', 'social']"
166,"['sai', 'shakti', 'marries', 'revenge', 'pooja', 'raj', 'daughter', 'kidnaps', 'marrying', 'naagin']"
